Records,Postgres Time (s),MongoDB Time (s),Redis Time (s),Neo4j Time (s),Cassandra Time (s),Postgres CPU Time (s),MongoDB CPU Time (s),Redis CPU Time (s),Neo4j CPU Time (s),Cassandra CPU Time (s),Postgres Memory (GB),MongoDB Memory (GB),Redis Memory (GB),Neo4j Memory (GB),Cassandra Memory (GB),Postgres Time per Record (s),MongoDB Time per Record (s),Redis Time per Record (s),Neo4j Time per Record (s),Cassandra Time per Record (s)
10,0.0006020069122314453,0.002166748046875,0.0070323944091796875,0.04464435577392578,0.019006013870239258,0.016,0.0091,0.0114,0.0217,0.0198,11392.69921875,11392.69140625,11392.8828125,11392.8515625,11395.55859375,6.020069122314453e-05,0.0002166748046875,0.0007032394409179687,0.004464435577392578,0.0019006013870239257
100,0.0027942657470703125,0.008735895156860352,0.041570425033569336,0.05533933639526367,0.25063180923461914,0.011300000000000001,0.016,0.019000000000000003,0.027200000000000002,0.19380000000000003,11395.8046875,11395.8046875,11395.8046875,11395.8046875,34230.75,2.7942657470703126e-05,8.735895156860352e-05,0.00041570425033569334,0.0005533933639526367,0.0025063180923461915
1000,0.025007247924804688,0.019822359085083008,0.30298495292663574,0.07843732833862305,0.9908621311187744,0.0125,0.023399999999999997,0.09580000000000001,0.0358,0.307,11399.3828125,11399.54296875,34194.9375,11396.49609375,113949.203125,2.500724792480469e-05,1.982235908508301e-05,0.0003029849529266357,7.843732833862305e-05,0.0009908621311187744
10000,0.011126995086669922,0.06452178955078125,0.6381754875183105,0.8307514190673828,7.101816415786743,0.0101,0.013900000000000001,0.11800000000000001,0.26630000000000004,2.383300000000001,11393.79296875,11397.6171875,79696.94921875,79702.84375,809212.5390625,1.1126995086669921e-06,6.452178955078125e-06,6.381754875183106e-05,8.307514190673829e-05,0.0007101816415786744
100000,0.09617853164672852,0.6676998138427734,6.195301055908203,6.443034410476685,323.0276834964752,0.02,0.0591,1.2650999999999997,1.0286,10.049300000000008,11419.37109375,45874.671875,703295.1953125,590064.5390625,5584201.7421875,9.617853164672851e-07,6.676998138427734e-06,6.195301055908203e-05,6.443034410476685e-05,0.003230276834964752
1000000,0.7803819179534912,6.087697744369507,7745.732470750809,65.02913498878479,7921.879588603973,0.1635,0.34790000000000004,12.777500000000009,9.49859999999999,87.87029999999821,81469.78125,214038.140625,7504773.88671875,6157907.484375,58997243.4765625,7.803819179534912e-07,6.087697744369507e-06,0.007745732470750809,6.502913498878479e-05,0.007921879588603973
