,time_Postgres,cpu_Postgres,memory_Postgres,time_per_record_Postgres,time_MongoDB,cpu_MongoDB,memory_MongoDB,time_per_record_MongoDB,time_Redis,cpu_Redis,memory_Redis,time_per_record_Redis,time_Neo4j,cpu_Neo4j,memory_Neo4j,time_per_record_Neo4j,time_Cassandra,cpu_Cassandra,memory_Cassandra,time_per_record_Cassandra
1,0.0005435943603515625,0.026300000000000004,10174.5703125,0.0005435943603515625,0.0019078254699707031,0.0235,10193.1484375,0.0019078254699707031,0.0006814002990722656,0.0152,10161.62890625,0.0006814002990722656,0.015967607498168945,0.0137,10161.765625,0.015967607498168945,0.002309083938598633,0.0101,10161.11328125,0.002309083938598633
10,0.0019440650939941406,0.012300000000000002,10159.46484375,0.00019440650939941406,0.006990194320678711,0.012800000000000002,10160.39453125,0.0006990194320678711,0.006080150604248047,0.009000000000000001,10160.39453125,0.0006080150604248046,0.0428006649017334,0.0152,10161.00390625,0.00428006649017334,0.0018355846405029297,0.0582,10203.87890625,0.00018355846405029296
100,0.0010190010070800781,0.026600000000000002,10176.8046875,1.0190010070800782e-05,0.006370067596435547,0.0147,10177.0234375,6.370067596435547e-05,0.046713829040527344,0.041299999999999996,10176.77734375,0.0004671382904052734,0.11484384536743164,0.0819,20353.5546875,0.0011484384536743163,0.00981760025024414,0.0316,10175.48828125,9.81760025024414e-05
1000,0.0030367374420166016,0.028000000000000004,10177.0546875,3.0367374420166016e-06,0.004781961441040039,0.025300000000000003,10178.58203125,4.781961441040039e-06,0.05697774887084961,0.011699999999999999,10178.625,5.697774887084961e-05,0.10290384292602539,0.0354,20357.41796875,0.0001029038429260254,0.013393878936767578,0.023399999999999997,10179.09375,1.3393878936767577e-05
10000,0.010126352310180664,0.0208,10178.23046875,1.0126352310180664e-06,0.036318063735961914,0.026300000000000004,10169.47265625,3.6318063735961916e-06,0.562169075012207,0.11600000000000002,61008.55078125,5.62169075012207e-05,0.7270593643188477,0.1439,60838.4375,7.270593643188477e-05,0.10938286781311035,0.0414,10083.390625,1.0938286781311036e-05
100000,0.06616449356079102,0.034600000000000006,10096.27734375,6.616449356079101e-07,0.4884517192840576,0.039400000000000004,20298.91015625,4.884517192840576e-06,5.679206609725952,1.2552,580557.7421875,5.679206609725952e-05,5.5828588008880615,1.0152000000000005,488992.08984375,5.5828588008880615e-05,0.9487791061401367,0.14070000000000002,81569.17578125,9.487791061401367e-06
1000000,0.5059597492218018,0.09390000000000001,41177.0234375,5.059597492218017e-07,4.176774024963379,0.31390000000000007,148680.7109375,4.176774024963379e-06,74.31328344345093,25.528,7981283.60546875,7.431328344345093e-05,62.81365513801575,11.159700000000006,5376481.66015625,6.281365513801575e-05,4.4117560386657715,1.2244000000000002,483256.03515625,4.411756038665771e-06
