,time_Postgres,cpu_Postgres,memory_Postgres,time_per_record_Postgres,time_MongoDB,cpu_MongoDB,memory_MongoDB,time_per_record_MongoDB,time_Redis,cpu_Redis,memory_Redis,time_per_record_Redis,time_Neo4j,cpu_Neo4j,memory_Neo4j,time_per_record_Neo4j,time_Cassandra,cpu_Cassandra,memory_Cassandra,time_per_record_Cassandra
1,0.002373218536376953,0.0101,9956.34765625,0.002373218536376953,0.011837482452392578,0.0137,9957.21875,0.011837482452392578,0.00389862060546875,0.017300000000000003,9958.69140625,0.00389862060546875,0.04152178764343262,0.0225,9958.69140625,0.04152178764343262,0.0016276836395263672,0.0077,9959.17578125,0.0016276836395263672
10,0.010709762573242188,0.0159,9951.37890625,0.0010709762573242188,0.010522603988647461,0.013800000000000002,9958.0859375,0.001052260398864746,0.011705398559570312,0.0137,9958.0859375,0.0011705398559570313,0.05127429962158203,0.0177,9958.0859375,0.005127429962158203,0.006743192672729492,0.0092,9958.328125,0.0006743192672729493
100,0.04299569129943848,0.015,9959.0625,0.00042995691299438474,0.015992164611816406,0.012199999999999999,9959.05859375,0.00015992164611816406,0.05027914047241211,0.0177,9959.05859375,0.0005027914047241211,0.28548145294189453,0.062000000000000006,29891.64453125,0.002854814529418945,0.06568789482116699,0.0367,9965.16015625,0.0006568789482116699
1000,0.10079765319824219,0.0262,9966.78515625,0.00010079765319824219,0.03521108627319336,0.064,9978.046875,3.521108627319336e-05,0.2053208351135254,0.08600000000000001,29935.37109375,0.0002053208351135254,2.3750548362731934,0.6198000000000001,240080.6640625,0.002375054836273193,0.4270203113555908,0.1066,49980.44921875,0.00042702031135559085
10000,0.8648355007171631,0.15589999999999998,89806.2265625,8.64835500717163e-05,0.15469670295715332,0.03590000000000001,19941.81640625,1.5469670295715333e-05,1.1230638027191162,0.2129,119627.8203125,0.00011230638027191162,24.46768021583557,5.6937999999999995,2409729.671875,0.002446768021583557,3.9826226234436035,0.6337999999999999,397849.3515625,0.00039826226234436035
100000,8.491643190383911,1.3382,793779.33203125,8.491643190383911e-05,0.8348648548126221,0.1383,88844.00390625,8.348648548126221e-06,11.065687656402588,2.018700000000001,1090040.140625,0.00011065687656402588,327.9198224544525,52.64799999999992,31965518.0,0.003279198224544525,33.29332232475281,4.064900000000009,3278042.15234375,0.0003329332232475281
1000000,79.75668096542358,10.288299999999996,7521703.41015625,7.975668096542359e-05,7.503891468048096,0.9370999999999997,684512.3984375,7.503891468048096e-06,103.49634742736816,14.206699999999987,10043975.25,0.00010349634742736817,3601.1960093975067,358.2950999999548,350446056.53515625,0.0036011960093975067,339.250967502594,41.86930000000025,33405457.984375,0.00033925096750259397
