Database,Time (s),CPU Time (s),Memory Usage (GB)
Postgres,0.003905773162841797,0.029600000000000005,8.888782501220703
MongoDB,0.002384662628173828,0.0354,8.891376495361328
Redis,0.0011107921600341797,0.0864,8.898094177246094
Neo4j,0.06391024589538574,0.0354,8.87741470336914
Cassandra,0.5540585517883301,0.2058,62.140201568603516
