database,batch_time,batch_cpu,batch_memory,batch_time_per_record,number of records inserted
Postgres,0.12764286994934082,16.8,10915.58203125,0.00012764286994934083,1000
Postgres,0.12897729873657227,17.4,10915.25390625,0.00012897729873657227,1000
Postgres,0.1282191276550293,15.0,10916.32421875,0.0001282191276550293,1000
Postgres,0.12343478202819824,14.9,10918.73046875,0.00012343478202819823,1000
Postgres,0.1314697265625,22.3,10947.421875,0.0001314697265625,1000
Postgres,0.13303732872009277,17.0,10948.94140625,0.00013303732872009278,1000
Postgres,0.12283182144165039,16.3,10949.92578125,0.00012283182144165038,1000
Postgres,0.12882637977600098,17.4,10951.12109375,0.00012882637977600097,1000
Postgres,0.1267247200012207,17.8,10951.8203125,0.00012672472000122071,1000
Postgres,0.1297931671142578,15.7,10952.96484375,0.00012979316711425783,1000
Postgres,0.15321016311645508,18.5,10953.16015625,0.00015321016311645508,1000
Postgres,0.12752771377563477,16.2,10954.33203125,0.00012752771377563476,1000
Postgres,0.12311387062072754,16.5,10954.1796875,0.00012311387062072753,1000
Postgres,0.12026858329772949,15.2,10954.58984375,0.00012026858329772949,1000
Postgres,0.12192869186401367,18.1,10954.05859375,0.00012192869186401367,1000
Postgres,0.12276601791381836,17.1,10953.9609375,0.00012276601791381836,1000
Postgres,0.2025773525238037,20.5,10953.78125,0.00020257735252380372,1000
Postgres,0.13036370277404785,16.5,10953.640625,0.00013036370277404784,1000
Postgres,0.12926626205444336,16.7,10954.39453125,0.00012926626205444336,1000
Postgres,0.1213080883026123,15.7,10955.37890625,0.0001213080883026123,1000
Postgres,0.1276547908782959,17.6,10956.84375,0.0001276547908782959,1000
Postgres,0.2136554718017578,19.7,10957.03125,0.0002136554718017578,1000
Postgres,0.1382005214691162,17.2,10957.1328125,0.0001382005214691162,1000
Postgres,0.12676715850830078,18.3,10957.8125,0.0001267671585083008,1000
Postgres,0.12495112419128418,15.5,10957.57421875,0.00012495112419128417,1000
Postgres,0.12859344482421875,17.4,10957.46484375,0.00012859344482421875,1000
Postgres,0.126054048538208,16.2,10958.38671875,0.000126054048538208,1000
Postgres,0.1294856071472168,17.3,10926.06640625,0.0001294856071472168,1000
Postgres,0.12749218940734863,16.0,10925.8359375,0.00012749218940734863,1000
Postgres,0.1260526180267334,17.0,10926.0,0.0001260526180267334,1000
Postgres,0.12446475028991699,16.3,10926.24609375,0.000124464750289917,1000
Postgres,0.12132143974304199,17.5,10927.42578125,0.00012132143974304199,1000
Postgres,0.1294562816619873,17.8,10947.05078125,0.00012945628166198731,1000
Postgres,0.12112641334533691,15.7,10947.89453125,0.00012112641334533691,1000
Postgres,0.12644171714782715,16.2,10949.6171875,0.00012644171714782716,1000
Postgres,0.12107181549072266,15.8,10951.05859375,0.00012107181549072266,1000
Postgres,0.1220693588256836,17.3,10952.02734375,0.00012206935882568359,1000
Postgres,0.12704706192016602,17.6,10942.40234375,0.00012704706192016602,1000
Postgres,0.12198448181152344,15.5,10943.48046875,0.00012198448181152343,1000
Postgres,0.12430977821350098,16.5,10943.5703125,0.00012430977821350098,1000
Postgres,0.12349677085876465,21.5,10943.7890625,0.00012349677085876464,1000
Postgres,0.12208390235900879,17.3,10944.15625,0.0001220839023590088,1000
Postgres,0.13025116920471191,17.1,10945.4296875,0.0001302511692047119,1000
Postgres,0.12137222290039062,15.7,10946.09765625,0.00012137222290039063,1000
Postgres,0.14368557929992676,15.0,10947.51953125,0.00014368557929992674,1000
Postgres,0.12457513809204102,17.0,10947.5390625,0.000124575138092041,1000
Postgres,0.12154793739318848,17.3,10948.578125,0.00012154793739318848,1000
Postgres,0.12435102462768555,18.5,10949.4140625,0.00012435102462768555,1000
Postgres,0.12666630744934082,15.1,10951.10546875,0.00012666630744934083,1000
Postgres,0.18663644790649414,17.5,10951.15625,0.00018663644790649413,1000
Postgres,0.14232707023620605,18.4,10951.29296875,0.00014232707023620605,1000
Postgres,0.12302708625793457,15.5,10951.0390625,0.00012302708625793458,1000
Postgres,0.12411355972290039,17.8,10951.54296875,0.0001241135597229004,1000
Postgres,0.12668919563293457,17.6,10952.48828125,0.00012668919563293458,1000
Postgres,0.12406229972839355,16.3,10953.515625,0.00012406229972839356,1000
Postgres,0.12431621551513672,17.1,10954.4375,0.0001243162155151367,1000
Postgres,0.12166094779968262,17.3,10954.63671875,0.00012166094779968262,1000
Postgres,0.12582850456237793,16.2,10923.53125,0.00012582850456237794,1000
Postgres,0.12620806694030762,17.6,10925.03125,0.00012620806694030762,1000
MongoDB,0.03957533836364746,11.6,10925.015625,3.9575338363647464e-05,1000
MongoDB,0.03920865058898926,20.0,10925.5078125,3.920865058898926e-05,1000
MongoDB,0.03026294708251953,21.4,10925.5078125,3.0262947082519532e-05,1000
MongoDB,0.03335118293762207,10.7,10925.91796875,3.335118293762207e-05,1000
MongoDB,0.26357388496398926,20.8,10952.19921875,0.00026357388496398926,1000
MongoDB,0.016940593719482422,13.3,10952.19921875,1.6940593719482422e-05,1000
MongoDB,0.018409013748168945,12.5,10952.19921875,1.8409013748168944e-05,1000
MongoDB,0.021310091018676758,19.0,10951.9453125,2.1310091018676758e-05,1000
MongoDB,0.019089221954345703,18.7,10951.94140625,1.9089221954345704e-05,1000
MongoDB,0.021680355072021484,15.8,10952.43359375,2.1680355072021484e-05,1000
MongoDB,0.019601106643676758,11.1,10952.43359375,1.9601106643676756e-05,1000
MongoDB,0.023334503173828125,14.3,10952.92578125,2.3334503173828125e-05,1000
MongoDB,0.028925418853759766,13.0,10952.92578125,2.8925418853759766e-05,1000
MongoDB,0.024251222610473633,21.7,10952.92578125,2.4251222610473633e-05,1000
MongoDB,0.030977725982666016,14.8,10952.92578125,3.097772598266602e-05,1000
MongoDB,0.023608922958374023,14.3,10952.92578125,2.3608922958374023e-05,1000
MongoDB,0.024281740188598633,25.0,10953.41796875,2.4281740188598633e-05,1000
MongoDB,0.021319866180419922,5.9,10953.59765625,2.131986618041992e-05,1000
MongoDB,0.02661609649658203,23.1,10953.59765625,2.661609649658203e-05,1000
MongoDB,0.026906251907348633,13.0,10953.58984375,2.690625190734863e-05,1000
MongoDB,0.02305769920349121,20.0,10954.04296875,2.305769920349121e-05,1000
MongoDB,0.025466442108154297,13.6,10954.5078125,2.5466442108154295e-05,1000
MongoDB,0.021291732788085938,10.5,10955.4921875,2.1291732788085938e-05,1000
MongoDB,0.01934051513671875,12.5,10955.23828125,1.934051513671875e-05,1000
MongoDB,0.015210628509521484,25.0,10956.16796875,1.5210628509521485e-05,1000
MongoDB,0.0201113224029541,5.9,10956.9140625,2.01113224029541e-05,1000
MongoDB,0.020999908447265625,25.0,10956.9140625,2.0999908447265625e-05,1000
MongoDB,0.019809961318969727,6.3,10957.40625,1.9809961318969726e-05,1000
MongoDB,0.01755046844482422,18.7,10957.6171875,1.7550468444824218e-05,1000
MongoDB,0.020382404327392578,15.8,10957.56640625,2.0382404327392577e-05,1000
MongoDB,0.018393278121948242,11.8,10957.56640625,1.8393278121948244e-05,1000
MongoDB,0.021212339401245117,16.7,10957.78515625,2.1212339401245118e-05,1000
MongoDB,0.02053546905517578,20.0,10958.27734375,2.0535469055175782e-05,1000
MongoDB,0.016700029373168945,7.1,10958.515625,1.6700029373168946e-05,1000
MongoDB,0.018881797790527344,17.6,10958.515625,1.8881797790527343e-05,1000
MongoDB,0.021097421646118164,15.8,10958.515625,2.1097421646118165e-05,1000
MongoDB,0.020978212356567383,23.8,10958.89453125,2.0978212356567384e-05,1000
MongoDB,0.020076513290405273,11.8,10958.89453125,2.0076513290405272e-05,1000
MongoDB,0.01776719093322754,17.6,10959.1484375,1.776719093322754e-05,1000
MongoDB,0.020174026489257812,16.7,10959.1484375,2.0174026489257812e-05,1000
MongoDB,0.02268505096435547,14.3,10959.1484375,2.2685050964355468e-05,1000
MongoDB,0.03931713104248047,15.2,10959.1875,3.9317131042480466e-05,1000
MongoDB,0.03966879844665527,22.2,10959.67578125,3.9668798446655276e-05,1000
MongoDB,0.03714346885681152,25.7,10960.01171875,3.714346885681152e-05,1000
MongoDB,0.02610611915588379,20.0,10960.50390625,2.610611915588379e-05,1000
MongoDB,0.024535179138183594,25.0,10960.50390625,2.4535179138183594e-05,1000
MongoDB,0.024195432662963867,10.0,10960.99609375,2.4195432662963868e-05,1000
MongoDB,0.025260210037231445,13.6,10961.61328125,2.5260210037231445e-05,1000
MongoDB,0.0323491096496582,17.9,10961.61328125,3.23491096496582e-05,1000
MongoDB,0.023793697357177734,15.0,10962.57421875,2.3793697357177735e-05,1000
MongoDB,0.021060466766357422,10.5,10962.57421875,2.1060466766357423e-05,1000
