,time_Postgres,cpu_Postgres,memory_Postgres,time_per_record_Postgres,time_MongoDB,cpu_MongoDB,memory_MongoDB,time_per_record_MongoDB,time_Redis,cpu_Redis,memory_Redis,time_per_record_Redis,time_Neo4j,cpu_Neo4j,memory_Neo4j,time_per_record_Neo4j,time_Cassandra,cpu_Cassandra,memory_Cassandra,time_per_record_Cassandra
1,0.0017514228820800781,0.025,10111.6328125,0.0017514228820800781,0.0027990341186523438,0.021400000000000002,10122.0625,0.0027990341186523438,0.0007045269012451172,0.0087,10122.0625,0.0007045269012451172,0.027923583984375,0.015600000000000001,10122.03515625,0.027923583984375,0.001077890396118164,0.0175,10122.25390625,0.001077890396118164
10,0.00471949577331543,0.0202,10123.45703125,0.00047194957733154297,0.01845264434814453,0.025,10122.18359375,0.0018452644348144532,0.0038611888885498047,0.011500000000000002,10122.18359375,0.00038611888885498047,0.051503658294677734,0.026300000000000004,10122.1796875,0.005150365829467774,0.009382486343383789,0.056400000000000006,10173.08984375,0.000938248634338379
100,0.0029087066650390625,0.0538,10152.60546875,2.9087066650390625e-05,0.04811978340148926,0.016,10152.79296875,0.00048119783401489257,0.0073146820068359375,0.016200000000000003,10152.66015625,7.314682006835938e-05,0.30095815658569336,0.0804,30436.6875,0.0030095815658569337,0.04102206230163574,0.0231,10145.77734375,0.0004102206230163574
1000,0.012399911880493164,0.0215,10134.453125,1.2399911880493164e-05,0.390613317489624,0.0929,40507.65625,0.00039061331748962405,0.0776665210723877,0.025300000000000003,10119.14453125,7.76665210723877e-05,2.2982189655303955,0.5386,232628.1875,0.0022982189655303955,0.29808855056762695,0.0555,30336.7578125,0.0002980885505676269
10000,0.01757979393005371,0.01,10111.69140625,1.757979393005371e-06,3.172010660171509,0.7089,323848.94921875,0.00031720106601715087,0.41131067276000977,0.08929999999999999,50654.2265625,4.1131067276000976e-05,46.406355142593384,9.233499999999998,4585719.97265625,0.004640635514259338,3.014309883117676,0.5514000000000001,298098.66015625,0.0003014309883117676
100000,0.1840074062347412,0.0324,19870.6640625,1.8400740623474122e-06,25.587432146072388,4.6850000000000005,2495302.4453125,0.0002558743214607239,3.9899542331695557,0.9171000000000007,397443.4140625,3.9899542331695556e-05,325.11369013786316,54.39809999999968,31858974.2578125,0.0032511369013786314,26.716731071472168,3.268600000000004,2643101.51171875,0.0002671673107147217
1000000,2.1787874698638916,0.2561,218494.16015625,2.1787874698638914e-06,229.18407583236694,31.399599999999957,23673014.59375,0.00022918407583236695,37.49143052101135,5.6827999999999905,3701690.3203125,3.7491430521011355e-05,3355.340473175049,336.1246999999636,324912472.09375,0.0033553404731750487,263.9174118041992,31.60499999999975,25841445.01171875,0.0002639174118041992
