Database,Time (s),CPU Time (s),Memory Usage (GB)
Postgres,0.012551546096801758,0.0386,7.501171112060547
MongoDB,0.0014786720275878906,0.0308,7.5102081298828125
Redis,0.0005981922149658203,0.015600000000000001,7.509914398193359
Neo4j,0.1566786766052246,0.07170000000000001,15.023612976074219
Cassandra,0.6377148628234863,0.4721000000000001,60.12559509277344
