Records,Postgres Time (s),MongoDB Time (s),Redis Time (s),Neo4j Time (s),Cassandra Time (s),Postgres CPU Time (s),MongoDB CPU Time (s),Redis CPU Time (s),Neo4j CPU Time (s),Cassandra CPU Time (s),Postgres Memory (GB),MongoDB Memory (GB),Redis Memory (GB),Neo4j Memory (GB),Cassandra Memory (GB),Postgres Time per Record (s),MongoDB Time per Record (s),Redis Time per Record (s),Neo4j Time per Record (s),Cassandra Time per Record (s)
10,0.007205486297607422,0.011663675308227539,0.005265474319458008,0.04435610771179199,0.012845754623413086,0.0165,0.0127,0.0215,0.0231,0.048799999999999996,11898.078125,11899.66796875,11901.6171875,11901.71875,11901.99609375,0.0007205486297607421,0.001166367530822754,0.0005265474319458008,0.004435610771179199,0.0012845754623413085
100,0.010902881622314453,0.043140411376953125,0.006724834442138672,0.3493192195892334,0.1309981346130371,0.025600000000000005,0.028399999999999998,0.020500000000000004,0.2337,0.1257,11901.79296875,11902.01953125,11902.85546875,47665.984375,23829.91015625,0.00010902881622314453,0.00043140411376953126,6.724834442138672e-05,0.003493192195892334,0.001309981346130371
1000,0.10790777206420898,0.4020562171936035,0.05032491683959961,2.384028434753418,0.9840335845947266,0.0974,0.17360000000000003,0.0269,0.8956,0.6049,23841.0078125,47705.68359375,11934.52734375,286222.1484375,119239.37109375,0.00010790777206420899,0.0004020562171936035,5.032491683959961e-05,0.002384028434753418,0.0009840335845947266
10000,2.055875301361084,6.986267328262329,0.5428097248077393,35.57177543640137,4.037597179412842,0.391,1.3749000000000005,0.1479,6.855600000000005,1.5715,250484.39453125,811382.86328125,71670.48828125,4182399.125,489057.671875,0.0002055875301361084,0.0006986267328262329,5.428097248077392e-05,0.0035571775436401367,0.0004037597179412842
100000,5.413347244262695,25.13717246055603,4.2673821449279785,327.60891699790955,24.77334427833557,1.1488,4.275400000000009,1.2696000000000003,53.73279999999968,2.894200000000002,643871.390625,2925998.9921875,517457.30859375,38520469.65625,2937280.6953125,5.4133472442626956e-05,0.0002513717246055603,4.267382144927978e-05,0.0032760891699790953,0.0002477334427833557
1000000,49.883506536483765,231.62558794021606,37.08331775665283,3663.466218471527,254.48584628105164,6.789099999999994,31.20489999999995,5.859399999999987,344.7687999999472,29.679599999999827,5919673.234375,28786367.63671875,4370613.546875,426672165.8828125,30026373.2734375,4.988350653648377e-05,0.00023162558794021608,3.7083317756652835e-05,0.003663466218471527,0.0002544858462810516
