,time_Postgres,cpu_Postgres,memory_Postgres,time_per_record_Postgres,time_MongoDB,cpu_MongoDB,memory_MongoDB,time_per_record_MongoDB,time_Redis,cpu_Redis,memory_Redis,time_per_record_Redis,time_Neo4j,cpu_Neo4j,memory_Neo4j,time_per_record_Neo4j,time_Cassandra,cpu_Cassandra,memory_Cassandra,time_per_record_Cassandra
1,0.0019905567169189453,0.037000000000000005,9393.77734375,0.0019905567169189453,0.005685329437255859,0.0275,9402.0390625,0.005685329437255859,0.005624294281005859,0.009000000000000001,9352.046875,0.005624294281005859,0.053897857666015625,0.037200000000000004,9350.33203125,0.053897857666015625,0.0012755393981933594,0.0165,9350.52734375,0.0012755393981933594
10,0.008600473403930664,0.015,9339.62109375,0.0008600473403930664,0.009855270385742188,0.0159,9339.62890625,0.0009855270385742188,0.012379169464111328,0.0538,9340.15625,0.0012379169464111328,0.05343294143676758,0.06670000000000001,9323.1796875,0.005343294143676758,0.007100105285644531,0.0092,9320.2265625,0.0007100105285644531
100,0.09064030647277832,0.04870000000000001,9321.75,0.0009064030647277832,0.00441741943359375,0.025,9328.72265625,4.41741943359375e-05,0.016117572784423828,0.025,9330.765625,0.00016117572784423828,0.29074907302856445,0.12240000000000001,28001.19921875,0.0029074907302856444,0.14274382591247559,0.12460000000000002,18664.765625,0.0014274382591247558
1000,0.15063929557800293,0.10070000000000001,18668.45703125,0.00015063929557800293,0.019198894500732422,0.0386,9334.375,1.919889450073242e-05,0.15520906448364258,0.08829999999999999,18672.9609375,0.00015520906448364258,2.766911506652832,1.3405999999999998,261224.1015625,0.002766911506652832,0.6788280010223389,0.27919999999999995,65126.87109375,0.0006788280010223388
10000,1.0802879333496094,0.23029999999999998,102372.0546875,0.00010802879333496093,0.0939481258392334,0.013600000000000001,9312.4921875,9.39481258392334e-06,1.1609933376312256,0.24669999999999997,111682.23046875,0.00011609933376312256,22.213746070861816,5.168200000000003,2044960.25,0.0022213746070861816,4.773960828781128,1.4110999999999996,445965.13671875,0.0004773960828781128
100000,10.211636066436768,1.8167000000000004,947726.88671875,0.00010211636066436767,0.9917891025543213,0.10540000000000002,56095.05078125,9.917891025543213e-06,11.289745807647705,2.215800000000001,1051901.72265625,0.00011289745807647705,369.4250559806824,54.66749999999988,34138536.86328125,0.0036942505598068238,33.064961194992065,4.0418000000000065,3078054.07421875,0.00033064961194992067
1000000,96.43332052230835,13.027700000000003,8944196.87890625,9.643332052230835e-05,8.51976466178894,0.7037000000000001,522144.90625,8.51976466178894e-06,103.7646234035492,14.327799999999996,9865998.5390625,0.00010376462340354919,3459.440174102783,423.32409999995724,330765028.15625,0.0034594401741027832,370.7326889038086,56.64689999999931,35915125.4765625,0.0003707326889038086
